id,monitoringId,Channel,Reason,Status,Created,Deleted
5b9de70c-b94f-40e3-b82f-6184912b5045,null,msTeams,Superfile details have changed,notified,Thu Mar 02 2023 10:34:06 GMT-0600 (Central Standard Time),null
f55ef1ab-7bca-4228-91b9-40ab7191a5ae,null,msTeams,Superfile details have changed,Closed,Thu Mar 02 2023 10:35:06 GMT-0600 (Central Standard Time),null
430058fc-addd-4c86-8c81-6338f65ad165,98947e9e-b9f4-4a06-9de9-fb0627c1b74c,eMail,Superfile details have changed,notified,Mon Mar 06 2023 08:10:05 GMT-0600 (Central Standard Time),null
430058fc-addd-4c86-8c81-6338f65ad165,null,msTeams,Superfile details have changed,notified,Mon Mar 06 2023 08:10:05 GMT-0600 (Central Standard Time),null
03d7338d-e457-4bc3-a86b-d15cbb451134,98947e9e-b9f4-4a06-9de9-fb0627c1b74c,eMail,Superfile details have changed,notified,Mon Mar 06 2023 08:11:05 GMT-0600 (Central Standard Time),null
03d7338d-e457-4bc3-a86b-d15cbb451134,null,msTeams,Superfile details have changed,notified,Mon Mar 06 2023 08:11:05 GMT-0600 (Central Standard Time),null
e8e3df97-bb4a-4ffb-abcf-d038b556ec43,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 15:43:06 GMT-0600 (Central Standard Time),null
70a8ebe5-7e3c-4e75-b5f6-f07d8abd3656,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 15:44:06 GMT-0600 (Central Standard Time),null
b4366678-1b1b-472e-acff-8fa193236db1,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:31:06 GMT-0600 (Central Standard Time),null
4850caa2-df1d-4f2c-bf72-2f25f3f81e6e,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:32:06 GMT-0600 (Central Standard Time),null
8f84a10c-5c6f-4121-8b5c-c8609989d5b5,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:33:06 GMT-0600 (Central Standard Time),null
3fbc1abb-0b6e-4e8a-a15f-074fffc7449d,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:34:07 GMT-0600 (Central Standard Time),null
a8327b31-a632-4e19-98c1-cefb06f78502,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:35:07 GMT-0600 (Central Standard Time),null
029b7396-79c7-4f0f-8bf0-516664c250c5,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:36:06 GMT-0600 (Central Standard Time),null
d8a30b8e-6689-4048-bab3-327b659475d3,9fce7153-5d59-4d1a-8ffe-b3100e2c6f01,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:38:06 GMT-0600 (Central Standard Time),null
4366f189-465a-4eb6-87aa-355658797a17,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:45:06 GMT-0600 (Central Standard Time),null
9db4c29c-446d-487e-81f9-bd779f292cab,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:48:06 GMT-0600 (Central Standard Time),null
218e065e-28b2-4796-b7d1-bd70831111a8,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:51:05 GMT-0600 (Central Standard Time),null
26cd5daa-0bd5-4d0d-b0d7-169843459311,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 16:53:06 GMT-0600 (Central Standard Time),null
e203b395-06f8-43e4-84a2-6ab9b1eb0c90,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:11:06 GMT-0600 (Central Standard Time),null
8bcabf2b-ae78-4fe8-bb14-02b1ce5ed506,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:14:06 GMT-0600 (Central Standard Time),null
b8a5d68c-ed03-4d72-831e-2cd835fc35d5,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:15:06 GMT-0600 (Central Standard Time),null
0336f7bc-3c9e-489f-a5e4-225b131db608,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:16:06 GMT-0600 (Central Standard Time),null
c60c4159-1a85-446e-8145-902d7c90b5af,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:17:06 GMT-0600 (Central Standard Time),null
2a16d910-74c2-409c-8661-57cb8c4b107c,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:19:06 GMT-0600 (Central Standard Time),null
1b7f49e2-c1ad-4f3f-8787-c2bb56fd6f32,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:20:07 GMT-0600 (Central Standard Time),null
13fd703e-8f09-4ff3-bd9c-62c52431d042,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:21:06 GMT-0600 (Central Standard Time),null
a76eb720-5884-4d70-81c9-9280e55a8780,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:22:06 GMT-0600 (Central Standard Time),null
c2031b66-b753-411b-aa73-71e7c709a782,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:23:06 GMT-0600 (Central Standard Time),null
556ae704-d538-493a-80a7-477630c7cb7e,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:24:06 GMT-0600 (Central Standard Time),null
cadbdcea-f000-403a-8557-e3f7069b2c86,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:25:06 GMT-0600 (Central Standard Time),null
645f53e1-ade2-4faa-a5ee-53e30c96606a,8859ea56-26e7-48cf-9261-7484ecda58ad,eMail,Superfile details have changed,notified,Mon Mar 06 2023 17:26:06 GMT-0600 (Central Standard Time),null
21d8cbb8-4afe-4b81-8e17-9bd7db20745f,fde2cb13-c1a1-488e-a617-854901a62c38,eMail,Job Monitoring,Notified,Tue Mar 14 2023 09:00:03 GMT-0500 (Central Daylight Time),null